States,Transaction_Year,Quarters,District,Transaction_Type,Transaction_Count
delhi,2019,4,south district,TOTAL,5360121273.421125
delhi,2019,4,central district,TOTAL,21110784970.602043
delhi,2019,4,new delhi district,TOTAL,54398427887.76767
delhi,2019,4,west district,TOTAL,9822841229.050655
delhi,2019,4,south west district,TOTAL,5538272503.100773
delhi,2019,4,south east delhi district,TOTAL,8697135102.682936
delhi,2019,4,shahdara district,TOTAL,3597910765.053079
delhi,2019,4,north east district,TOTAL,3047347200.361245
delhi,2019,4,east district,TOTAL,5518543582.019401
delhi,2019,4,north west district,TOTAL,6492920778.373013
delhi,2019,4,north district,TOTAL,5440162132.4586935
delhi,2019,2,south district,TOTAL,3393506108.0570455
delhi,2019,2,central district,TOTAL,12827351677.982723
delhi,2019,2,new delhi district,TOTAL,36146671717.91837
delhi,2019,2,west district,TOTAL,5964570040.981258
delhi,2019,2,south west district,TOTAL,3375124289.347537
delhi,2019,2,south east delhi district,TOTAL,5354348696.201298
delhi,2019,2,shahdara district,TOTAL,2125041674.940278
delhi,2019,2,north east district,TOTAL,1754227759.3446712
delhi,2019,2,east district,TOTAL,3432947910.865346
delhi,2019,2,north west district,TOTAL,3903083209.0510397
delhi,2019,2,north district,TOTAL,3429942978.9386196
delhi,2019,3,south district,TOTAL,4543363283.628731
delhi,2019,3,central district,TOTAL,15911065630.894386
delhi,2019,3,new delhi district,TOTAL,43288057341.92169
delhi,2019,3,west district,TOTAL,8122173371.353606
delhi,2019,3,south west district,TOTAL,4564338750.415346
delhi,2019,3,south east delhi district,TOTAL,7118731074.594847
delhi,2019,3,shahdara district,TOTAL,2840221012.8598523
delhi,2019,3,north east district,TOTAL,2351726102.348302
delhi,2019,3,east district,TOTAL,4563965029.464273
delhi,2019,3,north west district,TOTAL,5327025172.802139
delhi,2019,3,north district,TOTAL,4566145276.173758
delhi,2019,1,south district,TOTAL,2944578121.8940973
delhi,2019,1,central district,TOTAL,16258175800.83931
delhi,2019,1,new delhi district,TOTAL,13939472234.96883
delhi,2019,1,west district,TOTAL,5022146273.196945
delhi,2019,1,south west district,TOTAL,2903464344.436347
delhi,2019,1,south east delhi district,TOTAL,4783209115.672518
delhi,2019,1,shahdara district,TOTAL,1800644587.5922666
delhi,2019,1,north east district,TOTAL,1482131304.9541302
delhi,2019,1,east district,TOTAL,2994257491.1936464
delhi,2019,1,north west district,TOTAL,3421611240.905769
delhi,2019,1,north district,TOTAL,2919441273.8433604
delhi,2022,4,south district,TOTAL,23391855096.18752
delhi,2022,4,central district,TOTAL,386107883617.53076
delhi,2022,4,new delhi district,TOTAL,58157025088.38429
delhi,2022,4,west district,TOTAL,56453476563.182175
delhi,2022,4,south west district,TOTAL,28102930810.327362
delhi,2022,4,south east delhi district,TOTAL,44231426531.24901
delhi,2022,4,shahdara district,TOTAL,24438534174.92784
delhi,2022,4,north east district,TOTAL,23377796053.16697
delhi,2022,4,east district,TOTAL,33122093387.044395
delhi,2022,4,north west district,TOTAL,35599171826.28781
delhi,2022,4,north district,TOTAL,31932822870.2881
delhi,2022,2,south district,TOTAL,21493188986.975037
delhi,2022,2,central district,TOTAL,232911858055.08478
delhi,2022,2,new delhi district,TOTAL,129418048270.15207
delhi,2022,2,west district,TOTAL,50563146986.313255
delhi,2022,2,south west district,TOTAL,26515960445.85206
delhi,2022,2,south east delhi district,TOTAL,40564903164.264656
delhi,2022,2,shahdara district,TOTAL,22195136725.333412
delhi,2022,2,north east district,TOTAL,20477358374.155003
delhi,2022,2,east district,TOTAL,23141432019.978474
delhi,2022,2,north west district,TOTAL,33092543802.04011
delhi,2022,2,north district,TOTAL,29482073628.067886
delhi,2022,3,south district,TOTAL,21732528705.790974
delhi,2022,3,central district,TOTAL,327191972497.86694
delhi,2022,3,new delhi district,TOTAL,76558260276.67705
delhi,2022,3,west district,TOTAL,52638495087.749954
delhi,2022,3,south west district,TOTAL,26324661266.56318
delhi,2022,3,south east delhi district,TOTAL,40627500625.401535
delhi,2022,3,shahdara district,TOTAL,21361296110.510616
delhi,2022,3,north east district,TOTAL,19808599331.163063
delhi,2022,3,east district,TOTAL,28881717613.549664
delhi,2022,3,north west district,TOTAL,32675014921.771603
delhi,2022,3,north district,TOTAL,29812600679.071415
delhi,2022,1,south district,TOTAL,17982839888.57036
delhi,2022,1,central district,TOTAL,198072597274.588
delhi,2022,1,new delhi district,TOTAL,110657872546.40234
delhi,2022,1,west district,TOTAL,43283043830.88957
delhi,2022,1,south west district,TOTAL,22636957994.996166
delhi,2022,1,south east delhi district,TOTAL,34276252396.92598
delhi,2022,1,shahdara district,TOTAL,19161154403.811974
delhi,2022,1,north east district,TOTAL,17814230282.345295
delhi,2022,1,east district,TOTAL,19771730745.94047
delhi,2022,1,north west district,TOTAL,28208907241.065834
delhi,2022,1,north district,TOTAL,25099334230.75274
delhi,2018,4,south district,TOTAL,2243831444.013054
delhi,2018,4,central district,TOTAL,13878492766.290386
delhi,2018,4,new delhi district,TOTAL,5091082007.824482
delhi,2018,4,west district,TOTAL,3650604507.6334457
delhi,2018,4,south west district,TOTAL,2165326033.913863
delhi,2018,4,south east delhi district,TOTAL,3473400560.128728
delhi,2018,4,shahdara district,TOTAL,1305320182.496128
delhi,2018,4,north east district,TOTAL,1097772210.9177313
delhi,2018,4,east district,TOTAL,2113753353.5608745
delhi,2018,4,north west district,TOTAL,2514145474.579898
delhi,2018,4,north district,TOTAL,2189129077.3478146
delhi,2018,2,south district,TOTAL,979271408.8449214
delhi,2018,2,central district,TOTAL,6223466821.092629
delhi,2018,2,new delhi district,TOTAL,2387389846.7443447
delhi,2018,2,west district,TOTAL,1588935316.1264243
delhi,2018,2,south west district,TOTAL,903268239.0851494
delhi,2018,2,south east delhi district,TOTAL,1466216713.987477
delhi,2018,2,shahdara district,TOTAL,533105673.5945449
delhi,2018,2,north east district,TOTAL,421841650.28459144
delhi,2018,2,east district,TOTAL,925784169.7499557
delhi,2018,2,north west district,TOTAL,1041767876.9620268
delhi,2018,2,north district,TOTAL,975252185.7330843
delhi,2018,3,south district,TOTAL,1501908121.057089
delhi,2018,3,central district,TOTAL,10515884583.426525
delhi,2018,3,new delhi district,TOTAL,3481996395.7022567
delhi,2018,3,west district,TOTAL,2408205061.402441
delhi,2018,3,south west district,TOTAL,1374843119.5072455
delhi,2018,3,south east delhi district,TOTAL,2190894940.9217963
delhi,2018,3,shahdara district,TOTAL,805520386.5670927
delhi,2018,3,north east district,TOTAL,629247316.0822874
delhi,2018,3,east district,TOTAL,1384933230.2478726
delhi,2018,3,north west district,TOTAL,1611349650.5127752
delhi,2018,3,north district,TOTAL,1471064055.191176
delhi,2018,1,south district,TOTAL,597143870.4750924
delhi,2018,1,central district,TOTAL,4312145216.274474
delhi,2018,1,new delhi district,TOTAL,1478916789.169149
delhi,2018,1,west district,TOTAL,966855137.026748
delhi,2018,1,south west district,TOTAL,555900155.5283471
delhi,2018,1,south east delhi district,TOTAL,929543692.8225484
delhi,2018,1,shahdara district,TOTAL,326458215.38394874
delhi,2018,1,north east district,TOTAL,261468886.53742158
delhi,2018,1,east district,TOTAL,594248348.383992
delhi,2018,1,north west district,TOTAL,614242861.0675646
delhi,2018,1,north district,TOTAL,574580634.2506722
delhi,2020,4,south district,TOTAL,9578135719.354939
delhi,2020,4,central district,TOTAL,61575435521.28284
delhi,2020,4,new delhi district,TOTAL,37020451053.1837
delhi,2020,4,west district,TOTAL,22395396964.83783
delhi,2020,4,south west district,TOTAL,12646111042.466732
delhi,2020,4,south east delhi district,TOTAL,17130268130.317047
delhi,2020,4,shahdara district,TOTAL,9392225302.24066
delhi,2020,4,north east district,TOTAL,8639858685.613663
delhi,2020,4,east district,TOTAL,10725439312.082695
delhi,2020,4,north west district,TOTAL,14953244692.580372
delhi,2020,4,north district,TOTAL,12208521800.583145
delhi,2020,2,south district,TOTAL,4698622938.32077
delhi,2020,2,central district,TOTAL,30418597739.3527
delhi,2020,2,new delhi district,TOTAL,27033383045.677082
delhi,2020,2,west district,TOTAL,8981471481.485285
delhi,2020,2,south west district,TOTAL,6168338438.737106
delhi,2020,2,south east delhi district,TOTAL,7084670452.703099
delhi,2020,2,shahdara district,TOTAL,3324156645.786351
delhi,2020,2,north east district,TOTAL,3393429629.3164525
delhi,2020,2,east district,TOTAL,5059627017.012638
delhi,2020,2,north west district,TOTAL,6452332763.460186
delhi,2020,2,north district,TOTAL,5258808051.479293
delhi,2020,3,south district,TOTAL,6503381595.242459
delhi,2020,3,central district,TOTAL,61527717933.93762
delhi,2020,3,new delhi district,TOTAL,34516772051.491745
delhi,2020,3,west district,TOTAL,14963814238.681543
delhi,2020,3,south west district,TOTAL,8927576871.08003
delhi,2020,3,south east delhi district,TOTAL,11175362187.684738
delhi,2020,3,shahdara district,TOTAL,5899818228.157591
delhi,2020,3,north east district,TOTAL,5488227059.169052
