States,Transaction_Year,Quarters,District,Transaction_Type,Transaction_Count,Transaction_Amount
delhi,2019,4,new delhi,TOTAL,29048107,54398427887.76768
delhi,2019,4,central delhi,TOTAL,13130548,21110784970.602043
delhi,2019,4,west,TOTAL,6541869,9822841229.050655
delhi,2019,4,south east delhi,TOTAL,6387755,8697135102.682934
delhi,2019,4,east,TOTAL,4787770,5518543582.019401
delhi,2019,4,south,TOTAL,4672501,5360121273.421125
delhi,2019,4,north west,TOTAL,4376687,6492920778.373013
delhi,2019,4,north,TOTAL,3982235,5440162132.4586935
delhi,2019,4,south west,TOTAL,3796919,5538272503.100773
delhi,2019,4,shahdara,TOTAL,2149197,3597910765.0530796
delhi,2019,2,new delhi,TOTAL,23313548,36146671717.918365
delhi,2019,2,central delhi,TOTAL,8821530,12827351677.982723
delhi,2019,2,west,TOTAL,4273168,5964570040.981258
delhi,2019,2,south east delhi,TOTAL,4093477,5354348696.201298
delhi,2019,2,east,TOTAL,3157212,3432947910.8653455
delhi,2019,2,north west,TOTAL,3032525,3903083209.051039
delhi,2019,2,south,TOTAL,2809313,3393506108.0570455
delhi,2019,2,north,TOTAL,2646708,3429942978.9386187
delhi,2019,2,south west,TOTAL,2441752,3375124289.347537
delhi,2019,2,shahdara,TOTAL,1439856,2125041674.940278
delhi,2019,3,new delhi,TOTAL,24687138,43288057341.92169
delhi,2019,3,central delhi,TOTAL,10383905,15911065630.894386
delhi,2019,3,west,TOTAL,5923192,8122173371.353607
delhi,2019,3,south east delhi,TOTAL,5633818,7118731074.594847
delhi,2019,3,east,TOTAL,4260289,4563965029.464273
delhi,2019,3,south,TOTAL,4067756,4543363283.628731
delhi,2019,3,north west,TOTAL,4036365,5327025172.802139
delhi,2019,3,north,TOTAL,3597191,4566145276.173758
delhi,2019,3,south west,TOTAL,3392924,4564338750.415346
delhi,2019,3,shahdara,TOTAL,1929681,2840221012.8598523
delhi,2019,1,central delhi,TOTAL,12885975,16258175800.83931
delhi,2019,1,new delhi,TOTAL,10000765,13939472234.96883
delhi,2019,1,south east delhi,TOTAL,4177871,4783209115.672518
delhi,2019,1,west,TOTAL,3962949,5022146273.196945
delhi,2019,1,east,TOTAL,3074036,2994257491.1936464
delhi,2019,1,north west,TOTAL,3030848,3421611240.905769
delhi,2019,1,south,TOTAL,2571440,2944578121.8940973
delhi,2019,1,north,TOTAL,2528129,2919441273.8433604
delhi,2019,1,south west,TOTAL,2287011,2903464344.436347
delhi,2019,1,shahdara,TOTAL,1402956,1800644587.5922666
delhi,2022,4,central delhi,TOTAL,280960656,386107883617.53076
delhi,2022,4,new delhi,TOTAL,45094468,58157025088.38431
delhi,2022,4,south east delhi,TOTAL,33116019,44231426531.24901
delhi,2022,4,west,TOTAL,32293188,56453476563.182175
delhi,2022,4,east,TOTAL,23683133,33122093387.044395
delhi,2022,4,north west,TOTAL,19859098,35599171826.28781
delhi,2022,4,south,TOTAL,19537728,23391855096.18752
delhi,2022,4,north,TOTAL,19393947,31932822870.2881
delhi,2022,4,south west,TOTAL,18499176,28102930810.327362
delhi,2022,4,shahdara,TOTAL,11420073,24438534174.92784
delhi,2022,2,central delhi,TOTAL,159034619,232911858055.08478
delhi,2022,2,new delhi,TOTAL,87939392,129418048270.15207
delhi,2022,2,south east delhi,TOTAL,29302567,40564903164.264656
delhi,2022,2,west,TOTAL,28008086,50563146986.313255
delhi,2022,2,north west,TOTAL,18057230,33092543802.040115
delhi,2022,2,north,TOTAL,17494896,29482073628.067886
delhi,2022,2,south,TOTAL,17358990,21493188986.975037
delhi,2022,2,south west,TOTAL,16899542,26515960445.85206
delhi,2022,2,east,TOTAL,16485686,23141432019.978474
delhi,2022,2,shahdara,TOTAL,10060246,22195136725.333412
delhi,2022,3,central delhi,TOTAL,243139962,327191972497.867
delhi,2022,3,new delhi,TOTAL,58178476,76558260276.67705
delhi,2022,3,west,TOTAL,30595250,52638495087.749954
delhi,2022,3,south east delhi,TOTAL,30215862,40627500625.401535
delhi,2022,3,east,TOTAL,21104584,28881717613.549664
delhi,2022,3,north west,TOTAL,18316480,32675014921.771603
delhi,2022,3,south,TOTAL,18234782,21732528705.790974
delhi,2022,3,north,TOTAL,18232076,29812600679.07141
delhi,2022,3,south west,TOTAL,17276601,26324661266.56317
delhi,2022,3,shahdara,TOTAL,10220528,21361296110.510616
delhi,2022,1,central delhi,TOTAL,128309915,198072597274.588
delhi,2022,1,new delhi,TOTAL,71006225,110657872546.40234
delhi,2022,1,south east delhi,TOTAL,23146633,34276252396.92598
delhi,2022,1,west,TOTAL,22748647,43283043830.88957
delhi,2022,1,north west,TOTAL,14899833,28208907241.065834
delhi,2022,1,north,TOTAL,14076598,25099334230.75274
delhi,2022,1,south west,TOTAL,13659485,22636957994.996166
delhi,2022,1,south,TOTAL,13519253,17982839888.57036
delhi,2022,1,east,TOTAL,13032988,19771730745.94047
delhi,2022,1,north east,TOTAL,8357217,17814230282.345295
delhi,2018,4,central delhi,TOTAL,9373395,13878492766.290386
delhi,2018,4,new delhi,TOTAL,3230268,5091082007.824482
delhi,2018,4,west,TOTAL,2678986,3650604507.6334457
delhi,2018,4,south east delhi,TOTAL,2675009,3473400560.128728
delhi,2018,4,north west,TOTAL,2221592,2514145474.579898
delhi,2018,4,east,TOTAL,2073615,2113753353.5608745
delhi,2018,4,north,TOTAL,1864549,2189129077.3478146
delhi,2018,4,south,TOTAL,1769675,2243831444.013054
delhi,2018,4,south west,TOTAL,1535302,2165326033.913863
delhi,2018,4,shahdara,TOTAL,987533,1305320182.496128
delhi,2018,2,central delhi,TOTAL,3589206,6223466821.0926285
delhi,2018,2,new delhi,TOTAL,1177251,2387389846.7443447
delhi,2018,2,west,TOTAL,785457,1588935316.1264243
delhi,2018,2,south east delhi,TOTAL,767547,1466216713.987477
delhi,2018,2,north west,TOTAL,575888,1041767876.9620268
delhi,2018,2,north,TOTAL,517958,975252185.7330843
delhi,2018,2,south,TOTAL,513003,979271408.8449214
delhi,2018,2,east,TOTAL,504193,925784169.7499555
delhi,2018,2,south west,TOTAL,440508,903268239.0851493
delhi,2018,2,shahdara,TOTAL,272663,533105673.5945449
delhi,2018,3,central delhi,TOTAL,8165361,10515884583.426525
delhi,2018,3,new delhi,TOTAL,2022950,3481996395.702257
delhi,2018,3,west,TOTAL,1402787,2408205061.402441
delhi,2018,3,south east delhi,TOTAL,1321135,2190894940.921797
delhi,2018,3,north west,TOTAL,1071877,1611349650.512775
delhi,2018,3,south,TOTAL,1009436,1501908121.057089
delhi,2018,3,east,TOTAL,990369,1384933230.2478726
delhi,2018,3,north,TOTAL,955698,1471064055.191176
delhi,2018,3,south west,TOTAL,789269,1374843119.5072455
delhi,2018,3,shahdara,TOTAL,481819,805520386.5670927
delhi,2018,1,central delhi,TOTAL,2997714,4312145216.274474
delhi,2018,1,new delhi,TOTAL,883737,1478916789.169149
delhi,2018,1,south east delhi,TOTAL,562694,929543692.8225484
delhi,2018,1,west,TOTAL,545129,966855137.026748
delhi,2018,1,north west,TOTAL,387431,614242861.0675646
delhi,2018,1,north,TOTAL,361539,574580634.2506722
delhi,2018,1,east,TOTAL,357904,594248348.383992
delhi,2018,1,south,TOTAL,334361,597143870.4750924
delhi,2018,1,south west,TOTAL,318199,555900155.5283471
delhi,2018,1,shahdara,TOTAL,193886,326458215.38394874
delhi,2020,4,central delhi,TOTAL,32194168,61575435521.28283
delhi,2020,4,new delhi,TOTAL,19719782,37020451053.1837
delhi,2020,4,west,TOTAL,12092280,22395396964.83783
delhi,2020,4,south east delhi,TOTAL,11414146,17130268130.317047
delhi,2020,4,north west,TOTAL,8026101,14953244692.580374
delhi,2020,4,south west,TOTAL,7745403,12646111042.466732
delhi,2020,4,east,TOTAL,7410660,10725439312.082693
delhi,2020,4,south,TOTAL,6797385,9578135719.354939
delhi,2020,4,north,TOTAL,6775272,12208521800.583145
delhi,2020,4,shahdara,TOTAL,4208254,9392225302.24066
delhi,2020,2,central delhi,TOTAL,17641823,30418597739.3527
delhi,2020,2,new delhi,TOTAL,13713658,27033383045.67708
delhi,2020,2,west,TOTAL,5753319,8981471481.485285
delhi,2020,2,south east delhi,TOTAL,5215263,7084670452.703098
delhi,2020,2,north west,TOTAL,4270005,6452332763.460186
delhi,2020,2,south west,TOTAL,4193591,6168338438.737105
delhi,2020,2,east,TOTAL,4005780,5059627017.012638
delhi,2020,2,south,TOTAL,3631140,4698622938.32077
delhi,2020,2,north,TOTAL,3462809,5258808051.479293
delhi,2020,2,north east,TOTAL,2229412,3393429629.3164525
delhi,2020,3,central delhi,TOTAL,32203761,61527717933.93762
delhi,2020,3,new delhi,TOTAL,17268250,34516772051.491745
delhi,2020,3,west,TOTAL,8231034,14963814238.681545
delhi,2020,3,south east delhi,TOTAL,7402382,11175362187.684738
delhi,2020,3,north west,TOTAL,5785656,10454717366.918316
delhi,2020,3,south west,TOTAL,5547370,8927576871.08003
delhi,2020,3,east,TOTAL,5054670,7198767026.72743
delhi,2020,3,north,TOTAL,4691610,8507808245.57009
delhi,2020,3,south,TOTAL,4564631,6503381595.242459
delhi,2020,3,north east,TOTAL,2910048,5488227059.169053
